Month,Temp_max_North,Temp_min_North,Humi_North,Rain_North,Rain_Days_North,Temp_max_Central,Temp_min_Central,Humi_Central,Rain_Central,Rain_Days_Central,Temp_max_South,Temp_min_South,Humi_South,Rain_South,Rain_Days_South
1,20.0,14.0,68.5,0.0,0.0,32,21.0,86.0,0.0,0,25,19.0,61.5,0.0,0
2,23.4,16.5,67.0,0.0,0.0,24,19.5,84.5,0.0,0,34,23.3,58.5,0.0,0
3,26.0,15.0,76.0,43.0,5.8,28,22.0,83.0,24.0,2,34,23.0,74.0,13.8,1
4,28.0,22.0,75.0,60.3,5.0,31,24.0,82.0,30.6,2,35,25.0,63.0,10.8,0
5,32.0,24.0,75.0,133.0,7.0,33,25.0,80.0,63.0,3,34,24.0,70.0,66.5,2
6,34.0,26.0,71.0,162.0,8.0,35,26.0,73.0,55.0,3,33,23.0,75.0,114.0,7
7,33.0,26.0,72.0,178.0,8.0,34,26.0,74.0,82.9,5,32,23.0,81.1,13.8,1
8,26.0,15.0,76.0,184.0,8.0,34,25.0,80.3,114.0,6,32,23.0,80.0,101.0,7
9,32.0,25.0,79.4,109.0,5.0,32,24.0,82.7,307.0,10,32,23.0,81.6,79.8,6
10,29.0,22.0,74.0,77.0,4.0,29,23.0,86.0,477.0,14,31,23.0,75.0,117.0,5
11,26.0,19.0,75.0,40.0,2.0,27,21.0,85.0,414.0,14,32,22.0,75.0,35.7,2
12,22.0,15.0,77.0,16.0,1.0,25,20.0,82.0,215.0,13,32,21.0,72.0,17.5,1
